bundle_key,env_name,env_display,model_bundle_name,model_display,model_id,eligible_examples,eligible_deceptive_examples,eligible_truthful_examples,selected_examples,selected_deceptive_examples,selected_truthful_examples,deceptive_target,truthful_target,bundle_examples_relpath,bundle_sentences_relpath,bundle_selected_examples_relpath,bundle_config_relpath
car_sales__DeepSeek-R1-Distill-Qwen-7B,car_sales,CarSales,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,127,65,62,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-7B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-7B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-7B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-7B/bundle_config.json
car_sales__gpt-oss-20b,car_sales,CarSales,gpt-oss-20b,GPT-OSS-20B,openai/gpt-oss-20b,121,69,52,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__gpt-oss-20b/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__gpt-oss-20b/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__gpt-oss-20b/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__gpt-oss-20b/bundle_config.json
gridworld__DeepSeek-R1-Distill-Llama-8B,gridworld,Gridworld,DeepSeek-R1-Distill-Llama-8B,Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,116,54,62,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Llama-8B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Llama-8B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Llama-8B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Llama-8B/bundle_config.json
gridworld__DeepSeek-R1-Distill-Qwen-14B,gridworld,Gridworld,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,73,36,37,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Qwen-14B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Qwen-14B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Qwen-14B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Qwen-14B/bundle_config.json
gridworld__DeepSeek-R1-Distill-Qwen-7B,gridworld,Gridworld,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,128,57,71,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Qwen-7B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Qwen-7B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Qwen-7B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__DeepSeek-R1-Distill-Qwen-7B/bundle_config.json
gridworld__gpt-oss-20b,gridworld,Gridworld,gpt-oss-20b,GPT-OSS-20B,openai/gpt-oss-20b,71,47,24,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__gpt-oss-20b/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__gpt-oss-20b/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__gpt-oss-20b/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/gridworld__gpt-oss-20b/bundle_config.json
interview__DeepSeek-R1-Distill-Llama-8B,interview,Interview,DeepSeek-R1-Distill-Llama-8B,Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,117,59,58,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Llama-8B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Llama-8B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Llama-8B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Llama-8B/bundle_config.json
interview__DeepSeek-R1-Distill-Qwen-14B,interview,Interview,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,106,68,38,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Qwen-14B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Qwen-14B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Qwen-14B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Qwen-14B/bundle_config.json
interview__DeepSeek-R1-Distill-Qwen-7B,interview,Interview,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,127,68,59,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Qwen-7B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Qwen-7B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Qwen-7B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__DeepSeek-R1-Distill-Qwen-7B/bundle_config.json
interview__gpt-oss-20b,interview,Interview,gpt-oss-20b,GPT-OSS-20B,openai/gpt-oss-20b,73,49,24,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__gpt-oss-20b/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__gpt-oss-20b/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__gpt-oss-20b/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/interview__gpt-oss-20b/bundle_config.json
